"region","alder","statistikkvariabel","måned","value"
"Tydal","15-29 år","Personer registrert helt arbeidsledige","2018M11",NA
"Tydal","15-29 år","Personer registrert helt arbeidsledige","2019M11",NA
"Tydal","30-74 år","Personer registrert helt arbeidsledige","2009M11",NA
"Tydal","30-74 år","Personer registrert helt arbeidsledige","2013M11",NA
"Namdalseid","15-29 år","Personer registrert helt arbeidsledige","2018M11",NA
"Namdalseid","30-74 år","Personer registrert helt arbeidsledige","2018M11",NA
"Snåase - Snåsa","15-74 år","Personer registrert helt arbeidsledige","2016M11",NA
"Snåase - Snåsa","15-29 år","Personer registrert helt arbeidsledige","2016M11",NA
"Snåase - Snåsa","15-29 år","Personer registrert helt arbeidsledige","2018M11",NA
"Snåase - Snåsa","30-74 år","Personer registrert helt arbeidsledige","2016M11",NA
"Snåase - Snåsa","30-74 år","Personer registrert helt arbeidsledige","2018M11",NA
"Lierne","15-74 år","Personer registrert helt arbeidsledige","2009M11",NA
"Lierne","15-29 år","Personer registrert helt arbeidsledige","2009M11",NA
"Lierne","15-29 år","Personer registrert helt arbeidsledige","2010M11",NA
"Lierne","15-29 år","Personer registrert helt arbeidsledige","2012M11",NA
"Lierne","15-29 år","Personer registrert helt arbeidsledige","2017M11",NA
"Lierne","15-29 år","Personer registrert helt arbeidsledige","2018M11",NA
"Lierne","15-29 år","Personer registrert helt arbeidsledige","2019M11",NA
"Lierne","30-74 år","Personer registrert helt arbeidsledige","2010M11",NA
"Lierne","30-74 år","Personer registrert helt arbeidsledige","2012M11",NA
"Lierne","30-74 år","Personer registrert helt arbeidsledige","2017M11",NA
"Raarvihke - Røyrvik","15-74 år","Personer registrert helt arbeidsledige","2010M11",NA
"Raarvihke - Røyrvik","15-74 år","Personer registrert helt arbeidsledige","2011M11",NA
"Raarvihke - Røyrvik","15-74 år","Personer registrert helt arbeidsledige","2012M11",NA
"Raarvihke - Røyrvik","15-74 år","Personer registrert helt arbeidsledige","2013M11",NA
"Raarvihke - Røyrvik","15-74 år","Personer registrert helt arbeidsledige","2014M11",NA
"Raarvihke - Røyrvik","15-74 år","Personer registrert helt arbeidsledige","2015M11",NA
"Raarvihke - Røyrvik","15-74 år","Personer registrert helt arbeidsledige","2016M11",NA
"Raarvihke - Røyrvik","15-74 år","Personer registrert helt arbeidsledige","2017M11",NA
"Raarvihke - Røyrvik","15-74 år","Personer registrert helt arbeidsledige","2018M11",NA
"Raarvihke - Røyrvik","15-29 år","Personer registrert helt arbeidsledige","2010M11",NA
"Raarvihke - Røyrvik","15-29 år","Personer registrert helt arbeidsledige","2011M11",NA
"Raarvihke - Røyrvik","15-29 år","Personer registrert helt arbeidsledige","2012M11",NA
"Raarvihke - Røyrvik","15-29 år","Personer registrert helt arbeidsledige","2013M11",NA
"Raarvihke - Røyrvik","15-29 år","Personer registrert helt arbeidsledige","2014M11",NA
"Raarvihke - Røyrvik","15-29 år","Personer registrert helt arbeidsledige","2015M11",NA
"Raarvihke - Røyrvik","15-29 år","Personer registrert helt arbeidsledige","2016M11",NA
"Raarvihke - Røyrvik","15-29 år","Personer registrert helt arbeidsledige","2017M11",NA
"Raarvihke - Røyrvik","15-29 år","Personer registrert helt arbeidsledige","2018M11",NA
"Raarvihke - Røyrvik","30-74 år","Personer registrert helt arbeidsledige","2010M11",NA
"Raarvihke - Røyrvik","30-74 år","Personer registrert helt arbeidsledige","2011M11",NA
"Raarvihke - Røyrvik","30-74 år","Personer registrert helt arbeidsledige","2012M11",NA
"Raarvihke - Røyrvik","30-74 år","Personer registrert helt arbeidsledige","2013M11",NA
"Raarvihke - Røyrvik","30-74 år","Personer registrert helt arbeidsledige","2014M11",NA
"Raarvihke - Røyrvik","30-74 år","Personer registrert helt arbeidsledige","2015M11",NA
"Raarvihke - Røyrvik","30-74 år","Personer registrert helt arbeidsledige","2016M11",NA
"Raarvihke - Røyrvik","30-74 år","Personer registrert helt arbeidsledige","2017M11",NA
"Raarvihke - Røyrvik","30-74 år","Personer registrert helt arbeidsledige","2018M11",NA
"Namsskogan","15-74 år","Personer registrert helt arbeidsledige","2009M11",NA
"Namsskogan","15-29 år","Personer registrert helt arbeidsledige","2009M11",NA
"Namsskogan","15-29 år","Personer registrert helt arbeidsledige","2016M11",NA
"Namsskogan","15-29 år","Personer registrert helt arbeidsledige","2019M11",NA
"Namsskogan","30-74 år","Personer registrert helt arbeidsledige","2016M11",NA
"Namsskogan","30-74 år","Personer registrert helt arbeidsledige","2019M11",NA
"Høylandet","15-74 år","Personer registrert helt arbeidsledige","2017M11",NA
"Høylandet","15-29 år","Personer registrert helt arbeidsledige","2009M11",NA
"Høylandet","15-29 år","Personer registrert helt arbeidsledige","2012M11",NA
"Høylandet","15-29 år","Personer registrert helt arbeidsledige","2015M11",NA
"Høylandet","15-29 år","Personer registrert helt arbeidsledige","2016M11",NA
"Høylandet","15-29 år","Personer registrert helt arbeidsledige","2017M11",NA
"Høylandet","15-29 år","Personer registrert helt arbeidsledige","2018M11",NA
"Høylandet","15-29 år","Personer registrert helt arbeidsledige","2019M11",NA
"Høylandet","30-74 år","Personer registrert helt arbeidsledige","2009M11",NA
"Høylandet","30-74 år","Personer registrert helt arbeidsledige","2012M11",NA
"Høylandet","30-74 år","Personer registrert helt arbeidsledige","2015M11",NA
"Høylandet","30-74 år","Personer registrert helt arbeidsledige","2016M11",NA
"Høylandet","30-74 år","Personer registrert helt arbeidsledige","2017M11",NA
"Høylandet","30-74 år","Personer registrert helt arbeidsledige","2018M11",NA
"Høylandet","30-74 år","Personer registrert helt arbeidsledige","2019M11",NA
"Fosnes","15-74 år","Personer registrert helt arbeidsledige","2011M11",NA
"Fosnes","15-74 år","Personer registrert helt arbeidsledige","2014M11",NA
"Fosnes","15-74 år","Personer registrert helt arbeidsledige","2017M11",NA
"Fosnes","15-74 år","Personer registrert helt arbeidsledige","2018M11",NA
"Fosnes","15-74 år","Personer registrert helt arbeidsledige","2019M11",NA
"Fosnes","15-29 år","Personer registrert helt arbeidsledige","2010M11",NA
"Fosnes","15-29 år","Personer registrert helt arbeidsledige","2011M11",NA
"Fosnes","15-29 år","Personer registrert helt arbeidsledige","2014M11",NA
"Fosnes","15-29 år","Personer registrert helt arbeidsledige","2016M11",NA
"Fosnes","15-29 år","Personer registrert helt arbeidsledige","2017M11",NA
"Fosnes","15-29 år","Personer registrert helt arbeidsledige","2018M11",NA
"Fosnes","15-29 år","Personer registrert helt arbeidsledige","2019M11",NA
"Fosnes","30-74 år","Personer registrert helt arbeidsledige","2010M11",NA
"Fosnes","30-74 år","Personer registrert helt arbeidsledige","2011M11",NA
"Fosnes","30-74 år","Personer registrert helt arbeidsledige","2014M11",NA
"Fosnes","30-74 år","Personer registrert helt arbeidsledige","2017M11",NA
"Fosnes","30-74 år","Personer registrert helt arbeidsledige","2018M11",NA
"Flatanger","15-74 år","Personer registrert helt arbeidsledige","2015M11",NA
"Flatanger","15-29 år","Personer registrert helt arbeidsledige","2010M11",NA
"Flatanger","15-29 år","Personer registrert helt arbeidsledige","2015M11",NA
"Flatanger","15-29 år","Personer registrert helt arbeidsledige","2017M11",NA
"Flatanger","30-74 år","Personer registrert helt arbeidsledige","2010M11",NA
"Flatanger","30-74 år","Personer registrert helt arbeidsledige","2017M11",NA
"Leka","15-74 år","Personer registrert helt arbeidsledige","2009M11",NA
"Leka","15-74 år","Personer registrert helt arbeidsledige","2012M11",NA
"Leka","15-74 år","Personer registrert helt arbeidsledige","2013M11",NA
"Leka","15-74 år","Personer registrert helt arbeidsledige","2015M11",NA
"Leka","15-74 år","Personer registrert helt arbeidsledige","2016M11",NA
"Leka","15-74 år","Personer registrert helt arbeidsledige","2019M11",NA
"Leka","15-29 år","Personer registrert helt arbeidsledige","2009M11",NA
"Leka","15-29 år","Personer registrert helt arbeidsledige","2010M11",NA
"Leka","15-29 år","Personer registrert helt arbeidsledige","2011M11",NA
"Leka","15-29 år","Personer registrert helt arbeidsledige","2012M11",NA
"Leka","15-29 år","Personer registrert helt arbeidsledige","2013M11",NA
"Leka","15-29 år","Personer registrert helt arbeidsledige","2014M11",NA
"Leka","15-29 år","Personer registrert helt arbeidsledige","2015M11",NA
"Leka","15-29 år","Personer registrert helt arbeidsledige","2016M11",NA
"Leka","15-29 år","Personer registrert helt arbeidsledige","2018M11",NA
"Leka","15-29 år","Personer registrert helt arbeidsledige","2019M11",NA
"Leka","30-74 år","Personer registrert helt arbeidsledige","2009M11",NA
"Leka","30-74 år","Personer registrert helt arbeidsledige","2010M11",NA
"Leka","30-74 år","Personer registrert helt arbeidsledige","2011M11",NA
"Leka","30-74 år","Personer registrert helt arbeidsledige","2012M11",NA
"Leka","30-74 år","Personer registrert helt arbeidsledige","2013M11",NA
"Leka","30-74 år","Personer registrert helt arbeidsledige","2014M11",NA
"Leka","30-74 år","Personer registrert helt arbeidsledige","2015M11",NA
"Leka","30-74 år","Personer registrert helt arbeidsledige","2016M11",NA
"Leka","30-74 år","Personer registrert helt arbeidsledige","2017M11",NA
"Leka","30-74 år","Personer registrert helt arbeidsledige","2019M11",NA
"Indre Fosen","15-74 år","Personer registrert helt arbeidsledige","2009M11",NA
"Indre Fosen","15-74 år","Personer registrert helt arbeidsledige","2010M11",NA
"Indre Fosen","15-74 år","Personer registrert helt arbeidsledige","2011M11",NA
"Indre Fosen","15-74 år","Personer registrert helt arbeidsledige","2012M11",NA
"Indre Fosen","15-74 år","Personer registrert helt arbeidsledige","2013M11",NA
"Indre Fosen","15-74 år","Personer registrert helt arbeidsledige","2014M11",NA
"Indre Fosen","15-74 år","Personer registrert helt arbeidsledige","2015M11",NA
"Indre Fosen","15-74 år","Personer registrert helt arbeidsledige","2016M11",NA
"Indre Fosen","15-74 år","Personer registrert helt arbeidsledige","2017M11",NA
"Indre Fosen","15-29 år","Personer registrert helt arbeidsledige","2009M11",NA
"Indre Fosen","15-29 år","Personer registrert helt arbeidsledige","2010M11",NA
"Indre Fosen","15-29 år","Personer registrert helt arbeidsledige","2011M11",NA
"Indre Fosen","15-29 år","Personer registrert helt arbeidsledige","2012M11",NA
"Indre Fosen","15-29 år","Personer registrert helt arbeidsledige","2013M11",NA
"Indre Fosen","15-29 år","Personer registrert helt arbeidsledige","2014M11",NA
"Indre Fosen","15-29 år","Personer registrert helt arbeidsledige","2015M11",NA
"Indre Fosen","15-29 år","Personer registrert helt arbeidsledige","2016M11",NA
"Indre Fosen","15-29 år","Personer registrert helt arbeidsledige","2017M11",NA
"Indre Fosen","30-74 år","Personer registrert helt arbeidsledige","2009M11",NA
"Indre Fosen","30-74 år","Personer registrert helt arbeidsledige","2010M11",NA
"Indre Fosen","30-74 år","Personer registrert helt arbeidsledige","2011M11",NA
"Indre Fosen","30-74 år","Personer registrert helt arbeidsledige","2012M11",NA
"Indre Fosen","30-74 år","Personer registrert helt arbeidsledige","2013M11",NA
"Indre Fosen","30-74 år","Personer registrert helt arbeidsledige","2014M11",NA
"Indre Fosen","30-74 år","Personer registrert helt arbeidsledige","2015M11",NA
"Indre Fosen","30-74 år","Personer registrert helt arbeidsledige","2016M11",NA
"Indre Fosen","30-74 år","Personer registrert helt arbeidsledige","2017M11",NA
"Heim","15-74 år","Personer registrert helt arbeidsledige","2009M11",NA
"Heim","15-74 år","Personer registrert helt arbeidsledige","2010M11",NA
"Heim","15-74 år","Personer registrert helt arbeidsledige","2011M11",NA
"Heim","15-74 år","Personer registrert helt arbeidsledige","2012M11",NA
"Heim","15-74 år","Personer registrert helt arbeidsledige","2013M11",NA
"Heim","15-74 år","Personer registrert helt arbeidsledige","2014M11",NA
"Heim","15-74 år","Personer registrert helt arbeidsledige","2015M11",NA
"Heim","15-74 år","Personer registrert helt arbeidsledige","2016M11",NA
"Heim","15-74 år","Personer registrert helt arbeidsledige","2017M11",NA
"Heim","15-74 år","Personer registrert helt arbeidsledige","2018M11",NA
"Heim","15-74 år","Personer registrert helt arbeidsledige","2019M11",NA
"Heim","15-29 år","Personer registrert helt arbeidsledige","2009M11",NA
"Heim","15-29 år","Personer registrert helt arbeidsledige","2010M11",NA
"Heim","15-29 år","Personer registrert helt arbeidsledige","2011M11",NA
"Heim","15-29 år","Personer registrert helt arbeidsledige","2012M11",NA
"Heim","15-29 år","Personer registrert helt arbeidsledige","2013M11",NA
"Heim","15-29 år","Personer registrert helt arbeidsledige","2014M11",NA
"Heim","15-29 år","Personer registrert helt arbeidsledige","2015M11",NA
"Heim","15-29 år","Personer registrert helt arbeidsledige","2016M11",NA
"Heim","15-29 år","Personer registrert helt arbeidsledige","2017M11",NA
"Heim","15-29 år","Personer registrert helt arbeidsledige","2018M11",NA
"Heim","15-29 år","Personer registrert helt arbeidsledige","2019M11",NA
"Heim","30-74 år","Personer registrert helt arbeidsledige","2009M11",NA
"Heim","30-74 år","Personer registrert helt arbeidsledige","2010M11",NA
"Heim","30-74 år","Personer registrert helt arbeidsledige","2011M11",NA
"Heim","30-74 år","Personer registrert helt arbeidsledige","2012M11",NA
"Heim","30-74 år","Personer registrert helt arbeidsledige","2013M11",NA
"Heim","30-74 år","Personer registrert helt arbeidsledige","2014M11",NA
"Heim","30-74 år","Personer registrert helt arbeidsledige","2015M11",NA
"Heim","30-74 år","Personer registrert helt arbeidsledige","2016M11",NA
"Heim","30-74 år","Personer registrert helt arbeidsledige","2017M11",NA
"Heim","30-74 år","Personer registrert helt arbeidsledige","2018M11",NA
"Heim","30-74 år","Personer registrert helt arbeidsledige","2019M11",NA
"Orkland","15-74 år","Personer registrert helt arbeidsledige","2009M11",NA
"Orkland","15-74 år","Personer registrert helt arbeidsledige","2010M11",NA
"Orkland","15-74 år","Personer registrert helt arbeidsledige","2011M11",NA
"Orkland","15-74 år","Personer registrert helt arbeidsledige","2012M11",NA
"Orkland","15-74 år","Personer registrert helt arbeidsledige","2013M11",NA
"Orkland","15-74 år","Personer registrert helt arbeidsledige","2014M11",NA
"Orkland","15-74 år","Personer registrert helt arbeidsledige","2015M11",NA
"Orkland","15-74 år","Personer registrert helt arbeidsledige","2016M11",NA
"Orkland","15-74 år","Personer registrert helt arbeidsledige","2017M11",NA
"Orkland","15-74 år","Personer registrert helt arbeidsledige","2018M11",NA
"Orkland","15-74 år","Personer registrert helt arbeidsledige","2019M11",NA
"Orkland","15-29 år","Personer registrert helt arbeidsledige","2009M11",NA
"Orkland","15-29 år","Personer registrert helt arbeidsledige","2010M11",NA
"Orkland","15-29 år","Personer registrert helt arbeidsledige","2011M11",NA
"Orkland","15-29 år","Personer registrert helt arbeidsledige","2012M11",NA
"Orkland","15-29 år","Personer registrert helt arbeidsledige","2013M11",NA
"Orkland","15-29 år","Personer registrert helt arbeidsledige","2014M11",NA
"Orkland","15-29 år","Personer registrert helt arbeidsledige","2015M11",NA
"Orkland","15-29 år","Personer registrert helt arbeidsledige","2016M11",NA
"Orkland","15-29 år","Personer registrert helt arbeidsledige","2017M11",NA
"Orkland","15-29 år","Personer registrert helt arbeidsledige","2018M11",NA
"Orkland","15-29 år","Personer registrert helt arbeidsledige","2019M11",NA
"Orkland","30-74 år","Personer registrert helt arbeidsledige","2009M11",NA
"Orkland","30-74 år","Personer registrert helt arbeidsledige","2010M11",NA
"Orkland","30-74 år","Personer registrert helt arbeidsledige","2011M11",NA
"Orkland","30-74 år","Personer registrert helt arbeidsledige","2012M11",NA
"Orkland","30-74 år","Personer registrert helt arbeidsledige","2013M11",NA
"Orkland","30-74 år","Personer registrert helt arbeidsledige","2014M11",NA
"Orkland","30-74 år","Personer registrert helt arbeidsledige","2015M11",NA
"Orkland","30-74 år","Personer registrert helt arbeidsledige","2016M11",NA
"Orkland","30-74 år","Personer registrert helt arbeidsledige","2017M11",NA
"Orkland","30-74 år","Personer registrert helt arbeidsledige","2018M11",NA
"Orkland","30-74 år","Personer registrert helt arbeidsledige","2019M11",NA
"Nærøysund","15-74 år","Personer registrert helt arbeidsledige","2009M11",NA
"Nærøysund","15-74 år","Personer registrert helt arbeidsledige","2010M11",NA
"Nærøysund","15-74 år","Personer registrert helt arbeidsledige","2011M11",NA
"Nærøysund","15-74 år","Personer registrert helt arbeidsledige","2012M11",NA
"Nærøysund","15-74 år","Personer registrert helt arbeidsledige","2013M11",NA
"Nærøysund","15-74 år","Personer registrert helt arbeidsledige","2014M11",NA
"Nærøysund","15-74 år","Personer registrert helt arbeidsledige","2015M11",NA
"Nærøysund","15-74 år","Personer registrert helt arbeidsledige","2016M11",NA
"Nærøysund","15-74 år","Personer registrert helt arbeidsledige","2017M11",NA
"Nærøysund","15-74 år","Personer registrert helt arbeidsledige","2018M11",NA
"Nærøysund","15-74 år","Personer registrert helt arbeidsledige","2019M11",NA
"Nærøysund","15-29 år","Personer registrert helt arbeidsledige","2009M11",NA
"Nærøysund","15-29 år","Personer registrert helt arbeidsledige","2010M11",NA
"Nærøysund","15-29 år","Personer registrert helt arbeidsledige","2011M11",NA
"Nærøysund","15-29 år","Personer registrert helt arbeidsledige","2012M11",NA
"Nærøysund","15-29 år","Personer registrert helt arbeidsledige","2013M11",NA
"Nærøysund","15-29 år","Personer registrert helt arbeidsledige","2014M11",NA
"Nærøysund","15-29 år","Personer registrert helt arbeidsledige","2015M11",NA
"Nærøysund","15-29 år","Personer registrert helt arbeidsledige","2016M11",NA
"Nærøysund","15-29 år","Personer registrert helt arbeidsledige","2017M11",NA
"Nærøysund","15-29 år","Personer registrert helt arbeidsledige","2018M11",NA
"Nærøysund","15-29 år","Personer registrert helt arbeidsledige","2019M11",NA
"Nærøysund","30-74 år","Personer registrert helt arbeidsledige","2009M11",NA
"Nærøysund","30-74 år","Personer registrert helt arbeidsledige","2010M11",NA
"Nærøysund","30-74 år","Personer registrert helt arbeidsledige","2011M11",NA
"Nærøysund","30-74 år","Personer registrert helt arbeidsledige","2012M11",NA
"Nærøysund","30-74 år","Personer registrert helt arbeidsledige","2013M11",NA
"Nærøysund","30-74 år","Personer registrert helt arbeidsledige","2014M11",NA
"Nærøysund","30-74 år","Personer registrert helt arbeidsledige","2015M11",NA
"Nærøysund","30-74 år","Personer registrert helt arbeidsledige","2016M11",NA
"Nærøysund","30-74 år","Personer registrert helt arbeidsledige","2017M11",NA
"Nærøysund","30-74 år","Personer registrert helt arbeidsledige","2018M11",NA
"Nærøysund","30-74 år","Personer registrert helt arbeidsledige","2019M11",NA
"Rissa","15-74 år","Personer registrert helt arbeidsledige","2018M11",NA
"Rissa","15-74 år","Personer registrert helt arbeidsledige","2019M11",NA
"Rissa","15-29 år","Personer registrert helt arbeidsledige","2018M11",NA
"Rissa","15-29 år","Personer registrert helt arbeidsledige","2019M11",NA
"Rissa","30-74 år","Personer registrert helt arbeidsledige","2018M11",NA
"Rissa","30-74 år","Personer registrert helt arbeidsledige","2019M11",NA
"Haltdalen","15-74 år","Personer registrert helt arbeidsledige","2009M11",NA
"Haltdalen","15-74 år","Personer registrert helt arbeidsledige","2010M11",NA
"Haltdalen","15-74 år","Personer registrert helt arbeidsledige","2011M11",NA
"Haltdalen","15-74 år","Personer registrert helt arbeidsledige","2012M11",NA
"Haltdalen","15-74 år","Personer registrert helt arbeidsledige","2013M11",NA
"Haltdalen","15-74 år","Personer registrert helt arbeidsledige","2014M11",NA
"Haltdalen","15-74 år","Personer registrert helt arbeidsledige","2015M11",NA
"Haltdalen","15-74 år","Personer registrert helt arbeidsledige","2016M11",NA
"Haltdalen","15-74 år","Personer registrert helt arbeidsledige","2017M11",NA
"Haltdalen","15-74 år","Personer registrert helt arbeidsledige","2018M11",NA
"Haltdalen","15-74 år","Personer registrert helt arbeidsledige","2019M11",NA
"Haltdalen","15-29 år","Personer registrert helt arbeidsledige","2009M11",NA
"Haltdalen","15-29 år","Personer registrert helt arbeidsledige","2010M11",NA
